user_id,name,email,city,country,age,gender,phone,signup_date,membership_tier,occupation,education_level,preferred_language,timezone,referral_source,total_orders,lifetime_value,last_login,is_active,newsletter_subscribed,loyalty_points,preferred_category
1,User_1,user1@example.com,New York,UK,60.0,male,+14536146025,2025-02-25 23:00:23,bronze,Engineer,high_school,de,UTC+5:30,ad,15,1237.49,2025-06-12 18:27:55,true,true,3580.0,Food
2,User_2,user2@example.com,São Paulo,IN,18.4,female,+14998485882,2023-11-29 19:43:37,gold,Manager,some_college,de,UTC-8,facebook,17,4192.89,2025-03-01 12:26:07,true,false,484.0,Toys
3,User_3,user3@example.com,Tokyo,MX,25.1,prefer_not_to_say,+16633411560,2025-06-07 19:55:23,gold,Accountant,bachelors,ko,UTC+5:30,facebook,46,6837.39,2025-06-24 16:54:37,true,true,3865.0,Clothing
4,User_4,user4@example.com,Sydney,AU,38.8,non_binary,+13525876051,2023-08-14 12:07:58,gold,Teacher,phd,fr,UTC+10,instagram,29,5741.76,2024-10-19 07:44:23,true,false,1897.0,Food
5,User_5,user5@example.com,Chicago,AU,64.8,non_binary,+13722989659,2025-08-02 07:47:49,bronze,Designer,phd,ja,UTC+5:30,organic,49,1747.47,2025-12-29 12:23:51,false,false,714.0,Books
6,User_6,user6@example.com,Rio,AU,69.2,prefer_not_to_say,+13554762903,2024-04-17 06:31:47,silver,Nurse,masters,es,UTC-5,facebook,47,8633.15,2024-11-07 08:23:17,true,true,3960.0,Beauty
7,User_7,user7@example.com,Toronto,MX,48.2,male,+19216762279,2023-08-21 17:09:54,bronze,Nurse,bachelors,ja,UTC+0,email,38,11358.73,2025-04-05 12:57:47,false,true,2269.0,Sports
8,User_8,user8@example.com,Paris,JP,54.4,female,+12656439677,2024-02-28 15:44:40,silver,Nurse,phd,en,UTC+3,tiktok,40,4142.58,2024-05-21 07:23:09,false,true,559.0,Toys
9,User_9,user9@example.com,São Paulo,DE,22.9,prefer_not_to_say,+15504793184,2022-03-31 23:36:24,none,Doctor,some_college,hi,UTC+10,friend,36,10265.25,2023-04-10 03:57:01,false,false,4822.0,Food
10,User_10,user10@example.com,Mexico City,AU,43.7,female,+12965067727,2023-09-12 19:30:39,gold,Engineer,phd,ar,UTC+5:30,app_store,28,7612.97,2025-04-14 21:38:10,true,true,355.0,Electronics
11,User_11,user11@example.com,Toronto,AU,31.6,prefer_not_to_say,+17215107386,2025-11-07 12:30:17,silver,Accountant,phd,hi,UTC+5:30,organic,21,836.64,2025-11-10 13:42:07,false,true,472.0,Beauty
12,User_12,user12@example.com,Melbourne,FR,55.2,male,+12260329455,2023-10-01 15:00:13,gold,Teacher,some_college,de,UTC+5:30,ad,46,1617.72,2025-09-26 02:56:42,false,true,2109.0,Sports
13,User_13,user13@example.com,São Paulo,BR,66.8,male,+16512242520,2025-09-20 11:11:57,none,Engineer,high_school,de,UTC+1,youtube,28,6894.89,2025-10-05 02:31:05,false,false,1069.0,Beauty
14,User_14,user14@example.com,Paris,US,62.7,prefer_not_to_say,+13225136114,2023-08-12 17:08:31,none,Freelancer,some_college,de,UTC+9,instagram,24,2262.16,2023-08-16 01:30:00,true,true,3740.0,Electronics
