user_id,name,email,city,country,age,gender,phone,signup_date,membership_tier,occupation,education_level,preferred_language,timezone,referral_source,total_orders,lifetime_value,last_login,is_active,newsletter_subscribed,loyalty_points,preferred_category
1,User_1,user1@example.com,Rio,IT,70.8,female,+17000365044,2024-01-04 09:32:16,platinum,Engineer,bachelors,zh,UTC+1,friend,26,7335.55,2024-12-28 22:14:58,false,true,9933.0,Electronics
2,User_2,user2@example.com,Singapore,UK,48.7,non_binary,+12406795995,2023-04-30 10:15:24,none,Freelancer,phd,fr,UTC+0,tiktok,25,5358.32,2024-02-15 23:15:59,true,false,6288.0,Home & Garden
3,User_3,user3@example.com,New York,US,35.4,prefer_not_to_say,+16012821961,2023-03-03 13:06:26,none,Nurse,trade_school,de,UTC+0,app_store,54,9917.16,2024-05-18 00:23:16,true,true,7307.0,Sports
4,User_4,user4@example.com,Lyon,ES,63.4,prefer_not_to_say,+17712994523,2022-10-05 00:26:51,none,Accountant,bachelors,ko,UTC-3,instagram,72,3502.81,2023-11-17 11:28:20,true,true,7834.0,Home & Garden
5,User_5,user5@example.com,Munich,DE,27.4,male,+13388725602,2022-05-22 21:20:14,bronze,Doctor,phd,hi,UTC+8,organic,78,4759.38,2025-10-21 20:32:19,false,false,5004.0,Clothing
6,User_6,user6@example.com,Delhi,AU,40.0,prefer_not_to_say,+13524677466,2023-01-10 00:39:50,none,Student,phd,es,UTC+3,instagram,50,6282.33,2025-05-29 04:23:17,true,false,7113.0,Beauty
7,User_7,user7@example.com,Jakarta,AU,32.3,male,+18691151382,2024-05-20 16:25:39,platinum,Student,some_college,en,UTC-8,organic,62,13306.93,2025-04-28 17:19:15,false,false,2138.0,Food
8,User_8,user8@example.com,Lyon,CA,71.2,male,+12841109583,2025-09-23 06:38:21,gold,Nurse,some_college,en,UTC+3,email,48,5989.33,2025-10-30 08:41:21,false,true,9110.0,Sports
9,User_9,user9@example.com,Osaka,ES,54.9,prefer_not_to_say,+13710659735,2024-02-21 01:29:41,gold,Manager,trade_school,en,UTC+3,google,77,7426.48,2024-03-02 03:43:47,false,false,4903.0,Automotive
10,User_10,user10@example.com,Stockholm,UK,23.9,non_binary,+16418821132,2025-03-10 23:38:25,silver,Doctor,some_college,es,UTC+8,facebook,96,16585.39,2025-11-17 11:13:46,true,false,6375.0,Electronics
11,User_11,user11@example.com,Chicago,IT,66.6,male,+17723752538,2023-05-04 03:35:16,gold,Doctor,phd,ja,UTC+10,google,69,6740.88,2023-10-02 13:44:10,false,false,8377.0,Electronics
12,User_12,user12@example.com,Melbourne,ES,59.6,male,+12741247904,2022-04-11 21:41:39,bronze,Manager,phd,de,UTC+10,youtube,97,15561.44,2023-02-05 15:00:58,true,true,3112.0,Food
13,User_13,user13@example.com,Manchester,SG,65.7,male,+18726731758,2023-06-29 18:28:34,platinum,Teacher,high_school,es,UTC+1,facebook,43,6473.68,2023-12-29 15:11:36,true,false,5911.0,Electronics
14,User_14,user14@example.com,Dubai,JP,54.4,prefer_not_to_say,+16644040463,2025-04-06 01:29:21,silver,Manager,trade_school,de,UTC+1,email,100,2292.28,2025-06-10 19:48:48,true,false,7059.0,Books
15,User_15,user15@example.com,Mexico City,UK,30.9,female,+17466631885,2023-03-10 08:30:33,silver,Doctor,bachelors,pt,UTC-3,email,72,7801.31,2023-10-14 11:58:21,true,false,3552.0,Toys
16,User_16,user16@example.com,Mexico City,MX,57.2,female,+16452726119,2023-06-26 22:24:48,none,Retired,some_college,ar,UTC+3,instagram,57,14378.82,2025-09-16 10:51:35,false,false,6460.0,Sports
17,User_17,user17@example.com,Paris,IN,49.4,non_binary,+16684767782,2022-11-19 06:10:59,silver,Manager,some_college,hi,UTC+9,google,89,25914.78,2024-05-03 19:37:17,true,true,4752.0,Automotive
18,User_18,user18@example.com,London,US,55.5,male,+17679544695,2024-06-30 14:15:49,bronze,Student,high_school,fr,UTC+8,organic,47,8359.21,2025-03-08 11:15:05,false,false,6479.0,Clothing
19,User_19,user19@example.com,Milan,US,49.2,male,+18180495350,2022-10-18 16:01:22,none,Freelancer,phd,ko,UTC+8,youtube,39,2557.18,2024-04-26 19:23:57,false,true,2526.0,Toys
20,User_20,user20@example.com,Cairo,UK,35.1,female,+19572770322,2024-07-22 12:44:19,none,Teacher,masters,zh,UTC+9,app_store,61,12809.73,2025-04-10 23:14:45,false,true,1640.0,Books
21,User_21,user21@example.com,Monterrey,AU,71.7,female,+18734458346,2025-12-03 19:50:04,silver,Doctor,trade_school,ja,UTC-5,facebook,76,22060.21,2025-12-18 10:02:19,false,true,8015.0,Automotive
22,User_22,user22@example.com,Stockholm,AU,26.4,female,+13293997775,2023-09-08 03:43:17,bronze,Doctor,some_college,de,UTC+8,facebook,58,1173.69,2024-05-22 00:07:15,true,true,6847.0,Toys
23,User_23,user23@example.com,Mexico City,JP,44.8,prefer_not_to_say,+15001236185,2022-01-08 16:21:17,platinum,Retired,masters,de,UTC+0,youtube,20,2330.39,2024-01-20 05:01:56,true,false,7630.0,Books
24,User_24,user24@example.com,Stockholm,MX,59.6,prefer_not_to_say,+14563832929,2023-09-14 04:44:22,none,Teacher,bachelors,hi,UTC+3,google,36,8983.49,2025-02-03 08:21:09,true,true,7678.0,Toys
25,User_25,user25@example.com,Dubai,US,52.8,prefer_not_to_say,+15928116989,2023-07-17 18:47:37,silver,Doctor,masters,de,UTC-5,instagram,64,16032.43,2024-12-26 17:21:19,false,false,929.0,Beauty
26,User_26,user26@example.com,Osaka,JP,35.7,prefer_not_to_say,+12149579377,2024-10-13 00:33:45,platinum,Doctor,some_college,zh,UTC+10,facebook,54,3359.3,2025-03-01 17:41:15,false,true,3463.0,Clothing
27,User_27,user27@example.com,Tokyo,AU,25.3,prefer_not_to_say,+14947630261,2024-10-15 20:33:13,bronze,Freelancer,trade_school,zh,UTC+8,google,1,65.05,2025-08-26 00:29:13,false,false,2586.0,Clothing
28,User_28,user28@example.com,London,ES,45.0,non_binary,+19920642999,2024-07-26 17:10:58,gold,Teacher,some_college,zh,UTC+10,youtube,64,7961.03,2025-07-11 10:49:22,true,true,70.0,Music
29,User_29,user29@example.com,Amsterdam,IT,59.5,prefer_not_to_say,+13867829945,2023-02-05 12:50:36,platinum,Manager,high_school,es,UTC-3,organic,65,16093.6,2023-12-09 12:23:30,false,true,8892.0,Toys
